Nombre;inicio ;fin
Norman Barton;2011;2016
Baker Pierce;1993;1997
Quamar Wolfe;1991;1991
Stewart Cruz;2006;2007
James Carrillo;2005;2008
Nathaniel Colon;2008;2009
Finn Harmon;2012;2012
Oleg Mullins;1992;1996
Marcia Ana Entera;2008;2012
Dolores Fuertes de Barriga ;2000;2006
Igor Dito Delgado;1992;1995
Igor Dito Delgado;2001;2004
Igor Dito Delgado;1994;2000
Helen Chufe;2009;2010
Antonio Bragueta Suelta;2006;2011
Marcia Ana Entera;1995;2000
Paca Garte;1991;1997
Marcia Ana Entera;2012;2018
Igor Dito Delgado;2010;2011
Matias Queroso Todo;1997;1999
Aitor Tilla Buena;2005;2007
Dolores Fuertes de Barriga ;1998;2000
Dolores Fuertes de Barriga ;1994;1994
Paca Garte;2010;2015
Helen Chufe;1999;2000
Antonio Bragueta Suelta;1991;1991
Antonio Bragueta Suelta;2012;2014
Antonio Bragueta Suelta;2009;2012
Aitor Tilla Buena;2000;2002
Paca Garte;1999;1999
Marcia Ana Entera;2011;2014
Paca Garte;2011;2013
Helen Chufe;1998;2002
Dolores Fuertes de Barriga ;2006;2006
Igor Dito Delgado;2003;2009
Igor Dito Delgado;2011;2013
Helen Chufe;2004;2009
Matias Queroso Todo;1994;1994
Paca Garte;2012;2015
Helen Chufe;2006;2008
Dolores Fuertes de Barriga ;2007;2009
Matias Queroso Todo;2004;2007
Paca Garte;1994;1997
Aitor Tilla Buena;2005;2007
Antonio Bragueta Suelta;2004;2004
Helen Chufe;1994;1995
Antonio Bragueta Suelta;1999;2003
Helen Chufe;1995;1996
Igor Dito Delgado;2006;2007
Antonio Bragueta Suelta;1995;1997
Igor Dito Delgado;2006;2010
Igor Dito Delgado;2001;2007
Igor Dito Delgado;2000;2003
Aitor Tilla Buena;2000;2006
Paca Garte;2011;2013
Marcia Ana Entera;1997;2000
Helen Chufe;2009;2012
Antonio Bragueta Suelta;1995;1999
Igor Dito Delgado;2008;2012
Matias Queroso Todo;1996;2002
Igor Dito Delgado;1995;1997
Marcia Ana Entera;2005;2011
Paca Garte;2006;2007
Paca Garte;1999;1999
Helen Chufe;2007;2009
Antonio Bragueta Suelta;2001;2001
Igor Dito Delgado;2001;2004
Marcia Ana Entera;2010;2014
Paca Garte;2001;2002
Antonio Bragueta Suelta;1993;1997
Dolores Fuertes de Barriga ;2004;2004
Dolores Fuertes de Barriga ;2011;2012
Helen Chufe;2000;2004
Dolores Fuertes de Barriga ;2006;2008
Marcia Ana Entera;1995;1995
Aitor Tilla Buena;2004;2006
Paca Garte;2010;2012
Marcia Ana Entera;2009;2011
Antonio Bragueta Suelta;1994;1996
Dolores Fuertes de Barriga ;2012;2016
Matias Queroso Todo;2010;2013
Paca Garte;2002;2003
Matias Queroso Todo;1999;2000
Matias Queroso Todo;1990;1991
Paca Garte;2011;2014
Aitor Tilla Buena;2009;2011
Marcia Ana Entera;1991;1996
Helen Chufe;1992;1993
Helen Chufe;2006;2012
Matias Queroso Todo;2004;2005
Igor Dito Delgado;2004;2005
Helen Chufe;2006;2007
Aitor Tilla Buena;1999;2005
Igor Dito Delgado;2002;2008
Helen Chufe;1990;1992
Helen Chufe;2006;2011
Igor Dito Delgado;1993;1995
Helen Chufe;2008;2008
Paca Garte;2006;2007
Igor Dito Delgado;1998;2001
Igor Dito Delgado;2004;2010
Matias Queroso Todo;2001;2001
Aitor Tilla Buena;1997;2002
Antonio Bragueta Suelta;2009;2015
Antonio Bragueta Suelta;1996;2002
Helen Chufe;1991;1997
Aitor Tilla Buena;1997;1998
Matias Queroso Todo;2003;2008
Paca Garte;2007;2009
Aitor Tilla Buena;2006;2009
Antonio Bragueta Suelta;2000;2004
Igor Dito Delgado;2005;2011
Helen Chufe;1999;2000
Antonio Bragueta Suelta;1996;1998
Antonio Bragueta Suelta;1991;1991
Igor Dito Delgado;2007;2013
Igor Dito Delgado;2011;2013
Matias Queroso Todo;2000;2001
Paca Garte;1997;2001
Matias Queroso Todo;2003;2007
Matias Queroso Todo;1992;1995
Matias Queroso Todo;1994;1999
Antonio Bragueta Suelta;2005;2005
Igor Dito Delgado;2001;2001
Aitor Tilla Buena;1999;2003
Antonio Bragueta Suelta;2003;2005
Paca Garte;2002;2003
Dolores Fuertes de Barriga ;2003;2007
Dolores Fuertes de Barriga ;2001;2004
Paca Garte;2012;2012
Antonio Bragueta Suelta;2008;2010
Antonio Bragueta Suelta;1993;1999
Antonio Bragueta Suelta;2005;2006
Dolores Fuertes de Barriga ;1993;1999
Antonio Bragueta Suelta;2006;2007
Matias Queroso Todo;1997;2003
Paca Garte;1998;1999
Aitor Tilla Buena;2003;2009
Antonio Bragueta Suelta;2010;2011
Antonio Bragueta Suelta;2004;2006
Antonio Bragueta Suelta;2005;2006
Aitor Tilla Buena;1997;1997
Matias Queroso Todo;2011;2011
Aitor Tilla Buena;2010;2013
Dolores Fuertes de Barriga ;1995;1997
Marcia Ana Entera;1993;1996
Dolores Fuertes de Barriga ;2012;2014
Dolores Fuertes de Barriga ;1999;2003
Helen Chufe;2008;2011
Matias Queroso Todo;2001;2002
Dolores Fuertes de Barriga ;1990;1996
Aitor Tilla Buena;1996;1998
Igor Dito Delgado;2002;2005
Igor Dito Delgado;2007;2013
Paca Garte;2011;2013
Matias Queroso Todo;2003;2005
Dolores Fuertes de Barriga ;1996;2001
Aitor Tilla Buena;1995;1995
Matias Queroso Todo;1995;2000
Helen Chufe;1995;1995
Matias Queroso Todo;2006;2008
Paca Garte;2008;2011
Aitor Tilla Buena;2011;2014
Igor Dito Delgado;2009;2014
Marcia Ana Entera;1997;2002
Igor Dito Delgado;1992;1992
Igor Dito Delgado;1992;1997
Aitor Tilla Buena;1996;1999
Antonio Bragueta Suelta;1998;2004
Marcia Ana Entera;2004;2008
Paca Garte;1995;1995
Paca Garte;1998;2000
Marcia Ana Entera;2001;2006
Paca Garte;2009;2013
Aitor Tilla Buena;2001;2004
Helen Chufe;1995;2001
Antonio Bragueta Suelta;1996;2002
Dolores Fuertes de Barriga ;2006;2012
Antonio Bragueta Suelta;1995;2000
Antonio Bragueta Suelta;1990;1993
Aitor Tilla Buena;2007;2008
Igor Dito Delgado;2001;2001
Matias Queroso Todo;1996;1998
Paca Garte;1990;1990
Antonio Bragueta Suelta;2000;2004
Marcia Ana Entera;2007;2012
Matias Queroso Toto;2002;2004
Marcia Ana Entera;1995;2001
Aitor Tilla Buena;1998;2001
Igor Dito Delgado;2003;2004
Dolores Fuertes de Barriga ;2011;2014
Aitor Tilla Buena;2001;2003
Antonio Bragueta Suelta;2004;2006
Paca Garte;1996;2002
Aitor Tilla Buena;2002;2002
Dolores Fuertes de Barriga ;2000;2004
Matias Queroso Todo;1999;2002
Matias Queroso Todo;2008;2010
Antonio Bragueta Suelta;2012;2014
Marcia Ana Entera;1994;1997
Antonio Bragueta Suelta;1992;1998
Marcia Ana Entera;2003;2005
Antonio Bragueta Suelta;2008;2009
Antonio Bragueta Suelta;2002;2004
Aitor Tilla Buena;2012;2014
Marcia Ana Entera;1991;1991
Helen Chufe;1995;1995
Marcia Ana Entera;2001;2003
Helen Chufe;1991;1996
Antonio Bragueta Suelta;2010;2013
Aitor Tilla Buena;2011;2014
Antonio Bragueta Suelta;1999;2003
Igor Dito Delgado;2011;2014
Dolores Fuertes de Barriga ;1998;1999
Aitor Tilla Buena;2004;2009
Dolores Fuertes de Barriga ;1999;2005
Igor Dito Delgado;1990;1991
Aitor Tilla Buena;1997;1999
Antonio Bragueta Suelta;2002;2008
Aitor Tilla Buena;1998;2003
Marcia Ana Entera;2001;2004
Paca Garte;2001;2003
Matias Queroso Todo;2010;2016
Dolores Fuertes de Barriga ;2010;2015
Antonio Bragueta Suelta;2010;2016
Dolores Fuertes de Barriga ;2011;2016
Dolores Fuertes de Barriga ;2011;2016
Antonio Bragueta Suelta;2007;2011
Paca Garte;2003;2006
Paca Garte;1996;2001
Aitor Tilla Buena;2008;2008
Marcia Ana Entera;1990;1992
Matias Queroso Todo;1990;1994
Antonio Bragueta Suelta;1999;1999
Marcia Ana Entera;2007;2011
Marcia Ana Entera;1997;2003
Igor Dito Delgado;2007;2007
Igor Dito Delgado;1990;1995
Matias Queroso Todo;2009;2013
Paca Garte;2006;2009
Matias Queroso Todo;2004;2004
Dolores Fuertes de Barriga ;1992;1995
Matias Queroso Todo;2004;2008
Antonio Bragueta Suelta;2009;2014
Dolores Fuertes de Barriga ;2011;2011
Antonio Bragueta Suelta;1992;1994
Dolores Fuertes de Barriga ;1999;2000
Matias Queroso Todo;2012;2018
Paca Garte;1995;1996
Marcia Ana Entera;2011;2012
Marcia Ana Entera;2009;2009
Matias Queroso Todo;1991;1997
Aitor Tilla Buena;2002;2007
Antonio Bragueta Suelta;1994;1997
Helen Chufe;2002;2007
Helen Chufe;1991;1995
Paca Garte;2011;2015
Dolores Fuertes de Barriga ;2010;2012
Helen Chufe;1992;1992
Matias Queroso Todo;2011;2017
Matias Queroso Todo;1990;1996
Matias Queroso Todo;2007;2010
Aitor Tilla Buena;2011;2014
Igor Dito Delgado;2004;2005
Marcia Ana Entera;2010;2016
Igor Dito Delgado;2011;2011
Marcia Ana Entera;1992;1995
Paca Garte;1995;1999
Helen Chufe;1990;1993
Helen Chufe;2011;2012
Aitor Tilla Buena;2011;2013
Dolores Fuertes de Barriga ;2001;2001
Aitor Tilla Buena;1995;1999
Aitor Tilla Buena;1998;1998
Paca Garte;2012;2013
Dolores Fuertes de Barriga ;2008;2011
Helen Chufe;1994;2000
Antonio Bragueta Suelta;2003;2007
Dolores Fuertes de Barriga ;1999;2002
Igor Dito Delgado;1995;1998
Dolores Fuertes de Barriga ;2004;2009
Antonio Bragueta Suelta;2006;2007
Matias Queroso Todo;2007;2010
Aitor Tilla Buena;2006;2009
Igor Dito Delgado;1990;1993
Marcia Ana Entera;2000;2000
Dolores Fuertes de Barriga ;1994;1994
Helen Chufe;1991;1993
Marcia Ana Entera;2008;2009
Matias Queroso Todo;1997;2002
Paca Garte;1995;1995
Aitor Tilla Buena;2002;2007
Antonio Bragueta Suelta;1996;2000
Marcia Ana Entera;1990;1993
Igor Dito Delgado;1993;1995
Antonio Bragueta Suelta;2010;2010
Helen Chufe;2006;2006
Helen Chufe;1995;1995
Igor Dito Delgado;2012;2015
Marcia Ana Entera;1999;2005
Aitor Tilla Buena;1995;1998
Matias Queroso Todo;1991;1996
Marcia Ana Entera;2007;2008
Paca Garte;1994;1994
Paca Garte;2005;2007
Aitor Tilla Buena;2001;2001
Dolores Fuertes de Barriga ;2004;2006
Igor Dito Delgado;2006;2006
Matias Queroso Todo;2005;2007
Marcia Ana Entera;2010;2012
Aitor Tilla Buena;2004;2008
Helen Chufe;2004;2005
Antonio Bragueta Suelta;2004;2005
Antonio Bragueta Suelta;2001;2003
Paca Garte;1990;1992
Paca Garte;2000;2006
Marcia Ana Entera;2009;2013
Paca Garte;1998;1998
Paca Garte;2004;2005
Helen Chufe;2000;2001
Helen Chufe;1995;1998
Igor Dito Delgado;1994;1994
Antonio Bragueta Suelta;2008;2013
Helen Chufe;1994;1996
Marcia Ana Entera;1995;2001
Paca Garte;2010;2014
Matias Queroso Todo;1992;1996
Dolores Fuertes de Barriga ;1991;1994
Helen Chufe;1993;1994
Aitor Tilla Buena;2005;2005
Aitor Tilla Buena;1990;1994
Helen Chufe;2003;2006
Marcia Ana Entera;2008;2008
Aitor Tilla Buena;2012;2015
Helen Chufe;1999;2005
Paca Garte;1994;1994
Dolores Fuertes de Barriga ;2006;2012
Helen Chufe;1991;1991
Dolores Fuertes de Barriga ;2008;2013
Paca Garte;2012;2013
Paca Garte;2002;2007
Dolores Fuertes de Barriga ;2002;2003
Aitor Tilla Buena;1995;1997
